Month_Ending,Segment,City,Product,Miles,Reported_Accidents
9/30/15,Segment A,City 1,Product 1,32,0
9/30/15,Segment A,City 2,Product 2,"19,648",1
9/30/15,Segment A,City 3,Product 3,64,0
9/30/15,Segment A,City 4,Product 1,2,0
9/30/15,Segment A,City 5,Product 4,"2,367",0
9/30/15,Segment A,City 6,Product 2,30,0
9/30/15,Segment A,City 7,Product 5,45,0
9/30/15,Segment A,City 8,Product 2,730,0
9/30/15,Segment B,City 7,Product 6,"190,736",3
9/30/15,Segment B,City 6,Product 6,"6,883",0
9/30/15,Segment B,City 9,Product 6,424,0
9/30/15,Segment B,City 10,Product 6,"15,332",0
9/30/15,Segment C,City 6,Product 7,"15,931",0
9/30/15,Segment A,City 5,Product 3,10,0
9/30/15,Segment A,City 7,Product 8,219,0
9/30/15,Segment A,City 9,Product 9,"2,362",0
9/30/15,Segment A,City 11,Product 4,"13,322",0
9/30/15,Segment A,City 12,Product 9,"43,648",2
9/30/15,Segment A,City 13,Product 9,"53,512",2
9/30/15,Segment A,City 14,Product 9,"10,302",0
9/30/15,Segment A,City 15,Product 4,893,0
9/30/15,Segment A,City 16,Product 9,"14,123",0
9/30/15,Segment A,City 17,Product 9,"2,106",0
9/30/15,Segment A,City 17,Product 4,"3,815",0
9/30/15,Segment A,City 18,Product 4,"160,676",5
9/30/15,Segment A,City 19,Product 2,74,0
9/30/15,Segment A,City 20,Product 3,12,0
9/30/15,Segment A,City 21,Product 10,13,0
9/30/15,Segment A,City 22,Product 4,16,0
9/30/15,Segment A,City 23,Product 4,"32,317",1
9/30/15,Segment A,City 24,Product 9,618,0
9/30/15,Segment A,City 3,Product 11,"30,676",1
9/30/15,Segment A,City 5,Product 2,7,0
9/30/15,Segment A,City 25,Product 4,"59,226",1
9/30/15,Segment A,City 21,Product 8,28,0
9/30/15,Segment A,City 26,Product 9,"4,991",0
9/30/15,Segment A,City 27,Product 8,16,0
9/30/15,Segment A,City 28,Product 2,14,0
9/30/15,Segment A,City 21,Product 3,3,0
9/30/15,Segment A,City 29,Product 12,"12,175",1
9/30/15,Segment A,City 30,Product 3,1,0
9/30/15,Segment A,City 31,Product 2,73,0
9/30/15,Segment A,City 32,Product 12,124,0
9/30/15,Segment A,City 33,Product 10,378,0
9/30/15,Segment B,City 34,Product 6,"12,137",0
9/30/15,Segment C,City 25,Product 7,"16,516",0
9/30/15,Segment C,City 26,Product 7,24,0
9/30/15,Segment C,City 35,Product 7,"369,104",3
9/30/15,Segment D,City 2,Product 4,"1,291,919",25
9/30/15,Segment B,City 35,Product 6,"540,192",8
9/30/15,Segment B,City 36,Product 6,170,0
